# METADATA:
# 000AA: Castels
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000AA;2022-11-21 04:00:00;8.4;1011.1;99;8.2;3.2;;80;0;0
000AA;2022-11-21 04:30:00;8.5;1010.3;99;8.4;1.6;;289;;
000AA;2022-11-21 05:00:00;8.8;1009.9;99;8.6;3.2;;339;0;0
000AA;2022-11-21 05:30:00;8.8;1009.1;98;8.5;3.2;;249;;
000AA;2022-11-21 06:00:00;8.9;1008.3;97;8.4;3.2;;317;0;0
000AA;2022-11-21 06:30:00;8.8;1007.5;97;8.3;3.2;;326;;
000AA;2022-11-21 07:00:00;8.6;1006.7;97;8.2;3.2;;301;0;0.8
000AA;2022-11-21 07:30:00;8.5;1006.4;96;7.9;3.2;;328;;
000AA;2022-11-21 08:00:00;8.4;1005.8;97;7.9;3.2;;294;0;2.2
000AA;2022-11-21 08:30:00;8.3;1004.8;96;7.7;4.8;;17;;
000AA;2022-11-21 09:00:00;8.4;1004.3;96;7.8;4.8;;236;4.4;1.4
000AA;2022-11-21 09:30:00;8.3;1003.4;97;7.9;3.2;;319;;
000AA;2022-11-21 10:00:00;8.4;1003.2;96;7.8;3.2;;252;0;4.2
000AA;2022-11-21 10:30:00;8.6;1003.2;97;8.2;3.2;;217;;
000AA;2022-11-21 11:00:00;8.9;1002.1;97;8.4;3.2;;56;0;1.2
000AA;2022-11-21 11:30:00;9.4;1001;97;9;3.2;;49;;
000AA;2022-11-21 12:00:00;9.9;1000.5;97;9.4;1.6;;58;5.6;0.2
000AA;2022-11-21 12:30:00;10.2;999.9;98;9.9;1.6;;115;;
000AA;2022-11-21 13:00:00;11;999.5;98;10.7;1.6;;200;0;0
000AA;2022-11-21 13:30:00;11.4;999.3;97;11;1.6;;201;;
000AA;2022-11-21 14:00:00;11.7;999;98;11.4;1.6;;63;0;0.6
000AA;2022-11-21 14:30:00;12.3;999.4;97;11.9;6.4;;278;;
000AA;2022-11-21 15:00:00;12.4;999.5;96;11.8;3.2;;234;0.8;0.2
000AA;2022-11-21 15:30:00;12.2;999.7;92;10.9;6.4;;315;;
000AA;2022-11-21 16:00:00;11.7;1000.1;89;9.9;6.4;;254;0;0
000AA;2022-11-21 16:30:00;11.4;1000.9;91;10;6.4;;277;;
000AA;2022-11-21 17:00:00;10.9;1000.8;88;9;4.8;;276;0;0
000AA;2022-11-21 17:30:00;10.4;1001.3;88;8.5;4.8;;271;;
000AA;2022-11-21 20:30:00;8.1;1002.3;91;6.7;1.6;;309;;
000AA;2022-11-21 21:00:00;7.9;1002.9;92;6.7;3.2;;267;0;0
000AA;2022-11-21 21:30:00;7.7;1003;90;6.2;3.2;;292;;
000AA;2022-11-21 22:00:00;7.6;1003.4;91;6.2;3.2;;190;0;0
000AA;2022-11-21 22:30:00;7.2;1003.7;91;5.8;1.6;;244;;
000AA;2022-11-21 23:00:00;6.8;1003.5;91;5.5;3.2;;193;0;0
000AA;2022-11-21 23:30:00;6.7;1003.7;91;5.4;1.6;;213;;
000AA;2022-11-22 00:00:00;6.7;1003.5;90;5.2;1.6;;175;0;0
000AA;2022-11-22 00:30:00;6.7;1003.6;91;5.4;3.2;;224;;
000AA;2022-11-22 01:00:00;6.7;1003.2;93;5.6;3.2;;121;0;0.2
000AA;2022-11-22 01:30:00;6.5;1003.5;93;5.4;3.2;;232;;
000AA;2022-11-22 02:00:00;6.7;1003.8;93;5.7;4.8;;185;0;0.2
000AA;2022-11-22 02:30:00;6.7;1003.7;95;6;3.2;;135;;
000AA;2022-11-22 03:00:00;6.7;1003.8;95;5.9;3.2;;263;0.4;0
000AA;2022-11-22 03:30:00;6.8;1003.9;95;6.1;3.2;;211;;
000AA;2022-11-22 04:00:00;6.9;1004.6;96;6.3;3.2;;332;0;1
000AA;2022-11-22 04:30:00;7;1004.7;96;6.4;3.2;;307;;
000AA;2022-11-22 05:00:00;6.9;1004.9;97;6.5;3.2;;200;0;2
000AA;2022-11-22 05:30:00;6.9;1005;96;6.4;3.2;;192;;
000AA;2022-11-22 06:00:00;6.8;1005.2;96;6.2;1.6;;169;3.4;0.4
000AA;2022-11-22 06:30:00;6.6;1005;96;6;1.6;;157;;
000AA;2022-11-22 07:00:00;6.8;1005.7;96;6.2;1.6;;227;0;0.2
000AA;2022-11-22 07:30:00;6.7;1005.4;95;6;1.6;;171;;
000AA;2022-11-22 08:00:00;6.9;1005.7;95;6.1;3.2;;191;0;0.4
000AA;2022-11-22 08:30:00;7.2;1006;96;6.6;1.6;;165;;
000AA;2022-11-22 09:00:00;7.6;1005.9;97;7.2;1.6;;248;0.8;0.2
000AA;2022-11-22 09:30:00;7.9;1006;96;7.3;3.2;;198;;
000AA;2022-11-22 10:00:00;9.1;1006;94;8.2;3.2;;191;0;0.2
000AA;2022-11-22 10:30:00;9.1;1006.2;91;7.7;3.2;;294;;
000AA;2022-11-22 11:00:00;10.6;1005.7;89;8.8;4.8;;279;0;0.2
000AA;2022-11-22 11:30:00;10.3;1005.4;89;8.6;6.4;;219;;
000AA;2022-11-22 12:00:00;9.9;1005.2;90;8.4;4.8;;196;0.4;0
000AA;2022-11-22 12:30:00;10.6;1005;91;9.2;6.4;;261;;
